customer_code,full_name,phone,email,subject_id,profile_image_url
CUS-DEMO-001,Khách hàng mô phỏng 001,0900000001,customer001@example.com,fairface-0001,/demo/customers/CUS-DEMO-001.jpg
CUS-DEMO-002,Khách hàng mô phỏng 002,0900000002,customer002@example.com,fairface-0002,/demo/customers/CUS-DEMO-002.jpg
CUS-DEMO-003,Khách hàng mô phỏng 003,0900000003,customer003@example.com,fairface-0003,/demo/customers/CUS-DEMO-003.jpg
CUS-DEMO-004,Khách hàng mô phỏng 004,0900000004,customer004@example.com,fairface-0004,/demo/customers/CUS-DEMO-004.jpg
CUS-DEMO-005,Khách hàng mô phỏng 005,0900000005,customer005@example.com,fairface-0005,/demo/customers/CUS-DEMO-005.jpg
CUS-DEMO-006,Khách hàng mô phỏng 006,0900000006,customer006@example.com,fairface-0006,/demo/customers/CUS-DEMO-006.jpg
CUS-DEMO-007,Khách hàng mô phỏng 007,0900000007,customer007@example.com,fairface-0007,/demo/customers/CUS-DEMO-007.jpg
CUS-DEMO-008,Khách hàng mô phỏng 008,0900000008,customer008@example.com,fairface-0008,/demo/customers/CUS-DEMO-008.jpg
CUS-DEMO-009,Khách hàng mô phỏng 009,0900000009,customer009@example.com,fairface-0009,/demo/customers/CUS-DEMO-009.jpg
CUS-DEMO-010,Khách hàng mô phỏng 010,0900000010,customer010@example.com,fairface-0010,/demo/customers/CUS-DEMO-010.jpg
CUS-DEMO-011,Khách hàng mô phỏng 011,0900000011,customer011@example.com,fairface-0011,/demo/customers/CUS-DEMO-011.jpg
CUS-DEMO-012,Khách hàng mô phỏng 012,0900000012,customer012@example.com,fairface-0012,/demo/customers/CUS-DEMO-012.jpg
CUS-DEMO-013,Khách hàng mô phỏng 013,0900000013,customer013@example.com,fairface-0013,/demo/customers/CUS-DEMO-013.jpg
CUS-DEMO-014,Khách hàng mô phỏng 014,0900000014,customer014@example.com,fairface-0014,/demo/customers/CUS-DEMO-014.jpg
CUS-DEMO-015,Khách hàng mô phỏng 015,0900000015,customer015@example.com,fairface-0015,/demo/customers/CUS-DEMO-015.jpg
CUS-DEMO-016,Khách hàng mô phỏng 016,0900000016,customer016@example.com,fairface-0016,/demo/customers/CUS-DEMO-016.jpg
CUS-DEMO-017,Khách hàng mô phỏng 017,0900000017,customer017@example.com,fairface-0017,/demo/customers/CUS-DEMO-017.jpg
CUS-DEMO-018,Khách hàng mô phỏng 018,0900000018,customer018@example.com,fairface-0018,/demo/customers/CUS-DEMO-018.jpg
CUS-DEMO-019,Khách hàng mô phỏng 019,0900000019,customer019@example.com,fairface-0019,/demo/customers/CUS-DEMO-019.jpg
CUS-DEMO-020,Khách hàng mô phỏng 020,0900000020,customer020@example.com,fairface-0020,/demo/customers/CUS-DEMO-020.jpg
CUS-DEMO-021,Khách hàng mô phỏng 021,0900000021,customer021@example.com,fairface-0021,/demo/customers/CUS-DEMO-021.jpg
CUS-DEMO-022,Khách hàng mô phỏng 022,0900000022,customer022@example.com,fairface-0022,/demo/customers/CUS-DEMO-022.jpg
CUS-DEMO-023,Khách hàng mô phỏng 023,0900000023,customer023@example.com,fairface-0023,/demo/customers/CUS-DEMO-023.jpg
CUS-DEMO-024,Khách hàng mô phỏng 024,0900000024,customer024@example.com,fairface-0024,/demo/customers/CUS-DEMO-024.jpg
CUS-DEMO-025,Khách hàng mô phỏng 025,0900000025,customer025@example.com,fairface-0025,/demo/customers/CUS-DEMO-025.jpg
CUS-DEMO-026,Khách hàng mô phỏng 026,0900000026,customer026@example.com,fairface-0026,/demo/customers/CUS-DEMO-026.jpg
CUS-DEMO-027,Khách hàng mô phỏng 027,0900000027,customer027@example.com,fairface-0027,/demo/customers/CUS-DEMO-027.jpg
CUS-DEMO-028,Khách hàng mô phỏng 028,0900000028,customer028@example.com,fairface-0028,/demo/customers/CUS-DEMO-028.jpg
CUS-DEMO-029,Khách hàng mô phỏng 029,0900000029,customer029@example.com,fairface-0029,/demo/customers/CUS-DEMO-029.jpg
CUS-DEMO-030,Khách hàng mô phỏng 030,0900000030,customer030@example.com,fairface-0030,/demo/customers/CUS-DEMO-030.jpg
CUS-DEMO-031,Khách hàng mô phỏng 031,0900000031,customer031@example.com,fairface-0031,/demo/customers/CUS-DEMO-031.jpg
CUS-DEMO-032,Khách hàng mô phỏng 032,0900000032,customer032@example.com,fairface-0032,/demo/customers/CUS-DEMO-032.jpg
CUS-DEMO-033,Khách hàng mô phỏng 033,0900000033,customer033@example.com,fairface-0033,/demo/customers/CUS-DEMO-033.jpg
CUS-DEMO-034,Khách hàng mô phỏng 034,0900000034,customer034@example.com,fairface-0034,/demo/customers/CUS-DEMO-034.jpg
CUS-DEMO-035,Khách hàng mô phỏng 035,0900000035,customer035@example.com,fairface-0035,/demo/customers/CUS-DEMO-035.jpg
CUS-DEMO-036,Khách hàng mô phỏng 036,0900000036,customer036@example.com,fairface-0036,/demo/customers/CUS-DEMO-036.jpg
CUS-DEMO-037,Khách hàng mô phỏng 037,0900000037,customer037@example.com,fairface-0037,/demo/customers/CUS-DEMO-037.jpg
CUS-DEMO-038,Khách hàng mô phỏng 038,0900000038,customer038@example.com,fairface-0038,/demo/customers/CUS-DEMO-038.jpg
CUS-DEMO-039,Khách hàng mô phỏng 039,0900000039,customer039@example.com,fairface-0039,/demo/customers/CUS-DEMO-039.jpg
CUS-DEMO-040,Khách hàng mô phỏng 040,0900000040,customer040@example.com,fairface-0040,/demo/customers/CUS-DEMO-040.jpg
CUS-DEMO-041,Khách hàng mô phỏng 041,0900000041,customer041@example.com,fairface-0041,/demo/customers/CUS-DEMO-041.jpg
CUS-DEMO-042,Khách hàng mô phỏng 042,0900000042,customer042@example.com,fairface-0042,/demo/customers/CUS-DEMO-042.jpg
CUS-DEMO-043,Khách hàng mô phỏng 043,0900000043,customer043@example.com,fairface-0043,/demo/customers/CUS-DEMO-043.jpg
CUS-DEMO-044,Khách hàng mô phỏng 044,0900000044,customer044@example.com,fairface-0044,/demo/customers/CUS-DEMO-044.jpg
